STORE_NO,LASTEST_STORE_NO,STORE_NAME,LON,LAT,DO_NAME,STORE_TYPE_NAME,STORE_STATUS_NAME,BUSINESS_TIME_NAME,sells_ground_1f,Dining_area_seats_total,Dining_area_seats_outdoor,parking_lot,External_lavatory_sell,External_lavatory_outdoor,AREA_NAME,fm_100,hl_100,ok_100,px_100,sm_100,fm_250,hl_250,ok_250,px_250,sm_250,fm_500,hl_500,ok_500,px_500,sm_500,fm_1000,hl_1000,ok_1000,px_1000,sm_1000,GRID_LON,GRID_LAT,PEOPLE_FLOW,STORE_AMT,COMPETE_STORE_AMT,FLOW_INDEX,AVG_PSD
136129,136129,江陵,121.531595,25.053127,中山區,FC2,一般,一般,27.4,8,0,0,0,1,辦公商圈---開放型,1,0,0,0,0,5,0,0,0,0,11,0,0,1,0,46,9,0,6,0,121.535,25.055,218799,31,15,4756,65222.289909
170196,170196,鑫櫃,121.533288,25.056450,中山區,FC2,一般,一般,32,16,0,0,0,1,商業區---餐飲業.商店街,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,43,8,1,7,1,121.535,25.055,218799,31,15,4756,79285.604250
148580,241159,新西華,121.539101,25.058018,中山區,FC1,一般,一般,22.9,10,0,0,0,1,住宅區---辦公商圈,0,1,0,0,0,1,1,0,0,0,6,2,0,3,0,45,4,1,7,3,121.535,25.055,218799,31,15,4756,64004.877070
148144,148144,松盛,121.533691,25.052620,中山區,FC2,一般,一般,37.2,14,0,0,0,1,辦公商圈---開放型,1,0,0,0,0,6,0,0,0,0,12,1,0,0,0,37,10,0,8,0,121.535,25.055,218799,31,15,4756,77450.292983
141051,141051,佳佳,121.535927,25.058118,中山區,FC2,一般,一般,35.4,22,0,1,0,1,住宅區---文教區,1,0,0,0,0,1,0,0,0,0,6,2,0,1,0,38,4,1,5,3,121.535,25.055,218799,31,15,4756,73655.544122
155566,155566,新順安,121.540805,24.986139,新店區,FC2,位移新開,一般,40.3,21,0,1,0,2,住宅區---幹道型,1,0,0,0,0,2,1,0,0,0,7,1,0,0,0,27,5,0,4,3,121.545,24.985,72059,10,14,3002,71907.690445
144360,144360,二十張,121.540087,24.982615,新店區,FC2,一般,一般,33.5,17,0,1,0,1,住宅區---幹道型,1,0,0,0,0,3,0,0,0,1,13,2,0,1,1,29,5,1,3,2,121.545,24.985,72059,10,14,3002,46887.375973
185534,185534,南強,121.544409,24.980960,新店區,FC2,一般,一般,32.1,7,0,0,0,0,住宅區---文教區,1,0,0,0,0,3,0,0,0,1,8,0,0,1,2,28,6,1,2,3,121.545,24.985,72059,10,14,3002,73149.378390
173841,173841,寶強,121.548622,24.980258,新店區,FC1,一般,非24小時營業,39.5,34,0,1,0,1,辦公商圈---開放型,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,21,4,1,3,4,121.545,24.985,72059,10,14,3002,50174.540124
159225,159225,大坪林,121.542040,24.983002,新店區,FC2,一般,一般,17.8,0,0,0,0,0,交通轉運站---捷運站(外),1,0,0,0,0,3,0,0,0,1,10,1,0,1,2,29,5,1,3,2,121.545,24.985,72059,10,14,3002,77324.162851
190123,190123,世新大,121.545044,24.989510,文山區,FC2,一般,非24小時營業,40.5,8,0,1,0,0,文教區---大專院校(校內),0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,19,6,0,3,2,121.545,24.985,72059,10,14,3002,84458.980201
237275,237275,世成,121.547991,24.987400,文山區,RC,一般,非24小時營業,23.6,10,0,0,0,0,文教區---大專院校(校內),1,0,0,0,0,1,1,0,0,0,1,3,0,1,0,17,5,0,3,2,121.545,24.985,72059,10,14,3002,24619.816487
958901,958901,寶中,121.541901,24.986782,新店區,FC1,一般,一般,23.2,0,0,0,0,1,幹道型---住宅區,0,0,0,0,0,2,1,0,0,0,6,2,0,0,0,27,5,0,5,3,121.545,24.985,72059,10,14,3002,59519.059851
996121,996121,連豐,121.541258,24.980338,新店區,FC2,一般,一般,27.2,10,0,0,0,1,住宅區---商業區,1,0,0,0,1,3,0,0,0,1,11,1,0,2,1,30,5,2,4,3,121.545,24.985,72059,10,14,3002,76270.069008
196198,237275,世成,121.547991,24.987400,文山區,RC,一般,非24小時營業,24.2,10,0,0,0,0,文教區---大專院校(校內),1,0,0,0,0,1,1,0,0,0,1,3,0,1,0,16,5,0,3,2,121.545,24.985,72059,10,14,3002,30047.793154
187921,240031,合旺,121.545411,25.028362,大安區,FC1,一般,一般,28.5,0,0,0,0,1,住宅區---幹道型,0,0,0,0,0,2,1,0,1,0,8,1,0,3,0,25,2,1,7,0,121.545,25.025,115857,21,14,3310,60168.885178
193960,193960,科興,121.543893,25.025586,大安區,FC2,一般,非24小時營業,26.7,12,0,0,0,1,交通轉運站---捷運站(外),1,0,0,1,0,4,0,0,2,0,8,1,0,3,0,18,3,0,7,0,121.545,25.025,115857,21,14,3310,39952.466024
190570,190570,敦隆,121.548327,25.023667,文山區,FC2,一般,非24小時營業,41.1,22,0,1,0,0,辦公商圈---開放型,1,0,0,0,0,2,0,0,0,0,5,0,0,4,0,15,3,2,8,4,121.545,25.025,115857,21,14,3310,56828.886822
